pokedex_number,name,abilities,generation,classfication,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,speed,type1
234,Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",2,Big Horn Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,62,1250000,73,85,65,85,normal
235,Smeargle,"['Own Tempo', 'Technician', 'Moody']",2,Painter Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,35,800000,55,20,45,75,normal
236,Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']",2,Scuffle Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,35,1000000,35,35,35,35,fighting
237,Hitmontop,"['Intimidate', 'Technician', 'Steadfast']",2,Handstand Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,95,1000000,50,35,110,70,fighting
238,Smoochum,"['Oblivious', 'Forewarn', 'Hydration']",2,Kiss Pokemon,0,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,15,1000000,45,85,65,65,ice
239,Elekid,"['Static', 'Vital Spirit']",2,Electric Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,37,1000000,45,65,55,95,electric
240,Magby,"['Flame Body', 'Vital Spirit']",2,Live Coal Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,37,1000000,45,70,55,83,fire
241,Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']",2,Milk Cow Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,105,1250000,95,40,70,100,normal
242,Blissey,"['Natural Cure', 'Serene Grace', 'Healer']",2,Happiness Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,10,800000,255,75,135,55,normal
243,Raikou,"['Pressure', 'Inner Focus']",2,Thunder Pokemon,1,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,75,1250000,90,115,100,115,electric
244,Entei,"['Pressure', 'Inner Focus']",2,Volcano Pokemon,1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,85,1250000,115,90,75,100,fire
245,Suicune,"['Pressure', 'Inner Focus']",2,Aurora Pokemon,1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,20480,35,580,3,115,1250000,100,90,115,85,water
246,Larvitar,"['Guts', 'Sand Veil']",2,Rock Skin Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,50,1250000,50,45,50,41,rock
247,Pupitar,['Shed Skin'],2,Hard Shell Pokemon,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,84,10240,35,410,45,70,1250000,70,65,70,51,rock
248,Tyranitar,"['Sand Stream', 'Unnerve']",2,Armor Pokemon,0,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,164,10240,35,700,45,150,1250000,100,95,120,71,rock
249,Lugia,"['Pressure', 'Multiscale']",2,Diving Pokemon,1,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,90,30720,0,680,3,130,1250000,106,90,154,110,psychic
250,Ho-Oh,"['Pressure', 'Regenerator']",2,Rainbow Pokemon,1,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,130,30720,0,680,3,90,1250000,106,110,154,90,fire
251,Celebi,['Natural Cure'],2,Time Travel Pokemon,1,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,100,1059860,100,100,100,100,psychic
252,Treecko,"['Overgrow', 'Unburden']",3,Wood Gecko Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,310,45,35,1059860,40,65,55,70,grass
253,Grovyle,"['Overgrow', 'Unburden']",3,Wood Gecko Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,5120,70,405,45,45,1059860,50,85,65,95,grass
254,Sceptile,"['Overgrow', 'Unburden']",3,Forest Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,5120,70,630,45,75,1059860,70,145,85,145,grass
255,Torchic,"['Blaze', 'Speed Boost']",3,Chick Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5120,70,310,45,40,1059860,45,70,50,45,fire
256,Combusken,"['Blaze', 'Speed Boost']",3,Young Fowl Pokemon,0,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,85,5120,70,405,45,60,1059860,60,85,60,55,fire
257,Blaziken,"['Blaze', 'Speed Boost']",3,Blaze Pokemon,0,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,80,1059860,80,130,80,100,fire
258,Mudkip,"['Torrent', 'Damp']",3,Mud Fish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,50,1059860,50,50,50,40,water
259,Marshtomp,"['Torrent', 'Damp']",3,Mud Fish Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,405,45,70,1059860,70,60,70,50,water
260,Swampert,"['Torrent', 'Damp']",3,Mud Fish Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,150,5120,70,635,45,110,1059860,100,95,110,70,water
261,Poochyena,"['Run Away', 'Quick Feet', 'Rattled']",3,Bite Pokemon,0,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,55,3840,70,220,255,35,1000000,35,30,30,35,dark
262,Mightyena,"['Intimidate', 'Quick Feet', 'Moxie']",3,Bite Pokemon,0,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,3840,70,420,127,70,1000000,70,60,60,70,dark
263,Zigzagoon,"['Pickup', 'Gluttony', 'Quick Feet']",3,Tiny Racoon Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,41,1000000,38,30,41,60,normal
264,Linoone,"['Pickup', 'Gluttony', 'Quick Feet']",3,Rush Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,420,90,61,1000000,78,50,61,100,normal
265,Wurmple,"['Shield Dust', 'Run Away']",3,Worm Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,35,1000000,45,20,30,20,bug
266,Silcoon,['Shed Skin'],3,Cocoon Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,55,1000000,50,25,25,15,bug
267,Beautifly,"['Swarm', 'Rivalry']",3,Butterfly Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,3840,70,395,45,50,1000000,60,100,50,65,bug
268,Cascoon,['Shed Skin'],3,Cocoon Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,55,1000000,50,25,25,15,bug
269,Dustox,"['Shield Dust', 'Compoundeyes']",3,Poison Moth Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,385,45,70,1000000,60,50,90,65,bug
270,Lotad,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,Water Weed Pokemon,0,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,30,3840,70,220,255,30,1059860,40,40,50,30,water
271,Lombre,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,Jolly Pokemon,0,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,340,120,50,1059860,60,60,70,50,water
272,Ludicolo,"['Swift Swim', 'Rain Dish', 'Own Tempo']",3,Carefree Pokemon,0,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,3840,70,480,45,70,1059860,80,90,100,70,water
273,Seedot,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,Acorn Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,220,255,50,1059860,40,30,30,30,grass
274,Nuzleaf,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,Wily Pokemon,0,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,3840,70,340,120,40,1059860,70,60,40,60,grass
275,Shiftry,"['Chlorophyll', 'Early Bird', 'Pickpocket']",3,Wickid Pokemon,0,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,100,3840,70,480,45,60,1059860,90,90,60,80,grass
276,Taillow,"['Guts', 'Scrappy']",3,TinySwallow Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,270,200,30,1059860,40,30,30,85,normal
277,Swellow,"['Guts', 'Scrappy']",3,Swallow Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,3840,70,455,45,60,1059860,60,75,50,125,normal
278,Wingull,"['Keen Eye', 'Hydration', 'Rain Dish']",3,Seagull Pokemon,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,30,5120,70,270,190,30,1000000,40,55,30,85,water
279,Pelipper,"['Keen Eye', 'Drizzle', 'Rain Dish']",3,Water Bird Pokemon,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,5120,70,440,45,100,1000000,60,95,70,65,water
280,Ralts,"['Synchronize', 'Trace', 'Telepathy']",3,Feeling Pokemon,0,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,25,5120,35,198,235,25,1250000,28,45,35,40,psychic
281,Kirlia,"['Synchronize', 'Trace', 'Telepathy']",3,Emotion Pokemon,0,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,5120,35,278,120,35,1250000,38,65,55,50,psychic
282,Gardevoir,"['Synchronize', 'Trace', 'Telepathy']",3,Embrace Pokemon,0,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,85,5120,35,618,45,65,1250000,68,165,135,100,psychic
283,Surskit,"['Swift Swim', 'Rain Dish']",3,Pond Skater Pokemon,0,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,30,3840,70,269,200,32,1000000,40,50,52,65,bug
284,Masquerain,"['Intimidate', 'Unnerve']",3,Eyeball Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,3840,70,454,75,62,1000000,70,100,82,80,bug
285,Shroomish,"['Effect Spore', 'Poison Heal', 'Quick Feet']",3,Mushroom Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,295,255,60,1640000,60,40,60,35,grass
286,Breloom,"['Effect Spore', 'Poison Heal', 'Technician']",3,Mushroom Pokemon,0,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,130,3840,70,460,90,80,1640000,60,60,60,70,grass
287,Slakoth,['Truant'],3,Slacker Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,280,255,60,1250000,60,35,35,30,normal
288,Vigoroth,['Vital Spirit'],3,Wild Monkey Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,3840,70,440,120,80,1250000,80,55,55,90,normal
289,Slaking,['Truant'],3,Lazy Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,3840,70,670,45,100,1250000,150,95,65,100,normal
290,Nincada,"['Compoundeyes', 'Run Away']",3,Trainee Pokemon,0,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,45,3840,70,266,255,90,600000,31,30,30,40,bug
291,Ninjask,"['Speed Boost', 'Infiltrator']",3,Ninja Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,3840,70,456,120,45,600000,61,50,50,160,bug
292,Shedinja,['Wonder Guard'],3,Shed Pokemon,0,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,90,3840,70,236,45,45,600000,1,30,30,40,bug
293,Whismur,"['Soundproof', 'Rattled']",3,Whisper Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,51,5120,70,240,190,23,1059860,64,51,23,28,normal
294,Loudred,"['Soundproof', 'Scrappy']",3,Big Voice Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,5120,70,360,120,43,1059860,84,71,43,48,normal
295,Exploud,"['Soundproof', 'Scrappy']",3,Loud Noise Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,91,5120,70,490,45,63,1059860,104,91,73,68,normal
296,Makuhita,"['Thick Fat', 'Guts', 'Sheer Force']",3,Guts Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,60,5120,70,237,180,30,1640000,72,20,30,25,fighting
297,Hariyama,"['Thick Fat', 'Guts', 'Sheer Force']",3,Arm Thrust Pokemon,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,5120,70,474,200,60,1640000,144,40,60,50,fighting
298,Azurill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",3,Polka Dot Pokemon,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,20,2560,70,190,150,40,800000,50,20,40,20,normal
299,Nosepass,"['Sturdy', 'Magnet Pull', 'Sand Force']",3,Compass Pokemon,0,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,45,5120,70,375,255,135,1000000,30,45,90,30,rock
300,Skitty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",3,Kitten Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3840,70,260,255,45,800000,50,35,35,50,normal
301,Delcatty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",3,Prim Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,3840,70,400,60,65,800000,70,55,55,90,normal
302,Sableye,"['Keen Eye', 'Stall', 'Prankster']",3,Darkness Pokemon,0,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,85,6400,35,480,45,125,1059860,50,85,115,20,dark
303,Mawile,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",3,Deceiver Pokemon,0,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,105,5120,70,480,45,125,800000,50,55,95,50,steel
304,Aron,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,Iron Armor Pokemon,0,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,70,8960,35,330,180,100,1250000,50,40,40,30,steel
305,Lairon,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,Iron Armor Pokemon,0,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,90,8960,35,430,90,140,1250000,60,50,50,40,steel
306,Aggron,"['Sturdy', 'Rock Head', 'Heavy Metal']",3,Iron Armor Pokemon,0,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,140,8960,35,630,45,230,1250000,70,60,80,50,steel
307,Meditite,"['Pure Power', 'Telepathy']",3,Meditate Pokemon,0,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,40,5120,70,280,180,55,1000000,30,40,55,60,fighting
308,Medicham,"['Pure Power', 'Telepathy']",3,Meditate Pokemon,0,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,100,5120,70,510,90,85,1000000,60,80,85,100,fighting
309,Electrike,"['Static', 'Lightningrod', 'Minus']",3,Lightning Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,5120,70,295,120,40,1250000,40,65,40,65,electric
310,Manectric,"['Static', 'Lightningrod', 'Minus']",3,Discharge Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,5120,70,575,45,80,1250000,70,135,80,135,electric
311,Plusle,"['Plus', 'Lightningrod']",3,Cheering Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,405,200,40,1000000,60,85,75,95,electric
312,Minun,"['Minus', 'Volt Absorb']",3,Cheering Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,405,200,50,1000000,60,75,85,95,electric
313,Volbeat,"['Illuminate', 'Swarm', 'Prankster']",3,Firefly Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,73,3840,70,430,150,75,600000,65,47,85,85,bug
314,Illumise,"['Oblivious', 'Tinted Lens', 'Prankster']",3,Firefly Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,47,3840,70,430,150,75,1640000,65,73,85,85,bug
315,Roselia,"['Natural Cure', 'Poison Point', 'Leaf Guard']",3,Thorn Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,5120,70,400,150,45,1059860,50,100,80,65,grass
316,Gulpin,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",3,Stomach Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,43,5120,70,302,225,53,1640000,70,43,53,40,poison
317,Swalot,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",3,Poison Bag Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,73,5120,70,467,75,83,1640000,100,73,83,55,poison
318,Carvanha,"['Rough Skin', 'Speed Boost']",3,Savage Pokemon,0,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,90,5120,35,305,225,20,1250000,45,65,20,65,water
319,Sharpedo,"['Rough Skin', 'Speed Boost']",3,Brutal Pokemon,0,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,140,5120,35,560,60,70,1250000,70,110,65,105,water
320,Wailmer,"['Water Veil', 'Oblivious', 'Pressure']",3,Ball Whale Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,10240,70,400,125,35,1640000,130,70,35,60,water
321,Wailord,"['Water Veil', 'Oblivious', 'Pressure']",3,Float Whale Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,90,10240,70,500,60,45,1640000,170,90,45,60,water
322,Numel,"['Oblivious', 'Simple', 'Own Tempo']",3,Numb Pokemon,0,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,60,5120,70,305,255,40,1000000,60,65,45,35,fire
323,Camerupt,"['Magma Armor', 'Solid Rock', 'Anger Point']",3,Eruption Pokemon,0,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,120,5120,70,560,150,100,1000000,70,145,105,20,fire
324,Torkoal,"['White Smoke', 'Drought', 'Shell Armor']",3,Coal Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,470,90,140,1000000,70,85,70,20,fire
325,Spoink,"['Thick Fat', 'Own Tempo', 'Gluttony']",3,Bounce Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,25,5120,70,330,255,35,800000,60,70,80,60,psychic
326,Grumpig,"['Thick Fat', 'Own Tempo', 'Gluttony']",3,Manipulate Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,5120,70,470,60,65,800000,80,90,110,80,psychic
327,Spinda,"['Own Tempo', 'Tangled Feet', 'Contrary']",3,Spot Panda Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,360,255,60,800000,60,60,60,60,normal
328,Trapinch,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",3,Ant Pit Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,290,255,45,1059860,45,45,45,10,ground
329,Vibrava,['Levitate'],3,Vibration Pokemon,0,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,70,5120,70,340,120,50,1059860,50,50,50,70,ground
330,Flygon,['Levitate'],3,Mystic Pokemon,0,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,100,5120,70,520,45,80,1059860,80,80,80,100,ground
331,Cacnea,"['Sand Veil', 'Water Absorb']",3,Cactus Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,85,5120,35,335,190,40,1059860,50,85,40,35,grass
332,Cacturne,"['Sand Veil', 'Water Absorb']",3,Scarecrow Pokemon,0,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,115,5120,35,475,60,60,1059860,70,115,60,55,grass
333,Swablu,"['Natural Cure', 'Cloud Nine']",3,Cotton Bird Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,5120,70,310,255,60,600000,45,40,75,50,normal
334,Altaria,"['Natural Cure', 'Cloud Nine']",3,Humming Pokemon,0,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,110,5120,70,590,45,110,600000,75,110,105,80,dragon
335,Zangoose,"['Immunity', 'Toxic Boost']",3,Cat Ferret Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,115,5120,70,458,90,60,600000,73,60,60,90,normal
336,Seviper,"['Shed Skin', 'Infiltrator']",3,Fang Snake Pokemon,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,5120,70,458,90,60,1640000,73,100,60,65,poison
337,Lunatone,['Levitate'],3,Meteorite Pokemon,0,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,55,6400,70,460,45,65,800000,90,95,85,70,rock
338,Solrock,['Levitate'],3,Meteorite Pokemon,0,2,2,1,1,1,1,0.5,0.5,2,2,2,1,0.5,0.5,0.5,1,2,2,95,6400,70,460,45,85,800000,90,55,65,70,rock
339,Barboach,"['Oblivious', 'Anticipation', 'Hydration']",3,Whiskers Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,48,5120,70,288,190,43,1000000,50,46,41,60,water
340,Whiscash,"['Oblivious', 'Anticipation', 'Hydration']",3,Whiskers Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,78,5120,70,468,75,73,1000000,110,76,71,60,water
341,Corphish,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",3,Ruffian Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,3840,70,308,205,65,1640000,43,50,35,35,water
342,Crawdaunt,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",3,Rogue Pokemon,0,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,120,3840,70,468,155,85,1640000,63,90,55,55,water
343,Baltoy,['Levitate'],3,Clay Doll Pokemon,0,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,40,5120,70,300,255,55,1000000,40,40,70,55,ground
344,Claydol,['Levitate'],3,Clay Doll Pokemon,0,2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,70,5120,70,500,90,105,1000000,60,70,120,75,ground
345,Lileep,"['Suction Cups', 'Storm Drain']",3,Sea Lily Pokemon,0,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,41,7680,70,355,45,77,600000,66,61,87,23,rock
346,Cradily,"['Suction Cups', 'Storm Drain']",3,Barnacle Pokemon,0,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1,81,7680,70,495,45,97,600000,86,81,107,43,rock
347,Anorith,"['Battle Armor', 'Swift Swim']",3,Old Shrimp Pokemon,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,95,7680,70,355,45,50,600000,45,40,50,75,rock
348,Armaldo,"['Battle Armor', 'Swift Swim']",3,Plate Pokemon,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,125,7680,70,495,45,100,600000,75,70,80,45,rock
349,Feebas,"['Swift Swim', 'Oblivious', 'Adaptability']",3,Fish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,15,5120,70,200,255,20,600000,20,10,55,80,water
350,Milotic,"['Marvel Scale', 'Competitive', 'Cute Charm']",3,Tender Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,60,5120,70,540,60,79,600000,95,100,125,81,water
351,Castform,['Forecast'],3,Weather Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,6400,70,420,45,70,1000000,70,70,70,70,normal
352,Kecleon,"['Color Change', 'Protean']",3,Color Swap Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,5120,70,440,200,70,1059860,60,60,120,40,normal
353,Shuppet,"['Insomnia', 'Frisk', 'Cursed Body']",3,Puppet Pokemon,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,75,6400,35,295,225,35,800000,44,63,33,45,ghost
354,Banette,"['Insomnia', 'Frisk', 'Cursed Body']",3,Marionette Pokemon,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,165,6400,35,555,45,75,800000,64,93,83,75,ghost
355,Duskull,"['Levitate', 'Frisk']",3,Requiem Pokemon,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,40,6400,35,295,190,90,800000,20,30,90,25,ghost
